loss,a_1,a_2,b_1,b_2,d_1,d_2,n,prom_per,val_loss,val_a_1,val_a_2,val_b_1,val_b_2,val_d_1,val_d_2,val_n,val_prom_per,lr
3.7574636936187744,69.1019287109375,68.9503402709961,62.61495590209961,59.36439895629883,51.02490997314453,51.7037239074707,78.84260559082031,63.086151123046875,2.396636724472046,63.60966873168945,67.46527099609375,45.09378433227539,54.98469161987305,41.192317962646484,40.013118743896484,70.80209350585938,54.73728942871094,0.001
2.2683205604553223,65.644287109375,63.94229507446289,48.69044494628906,50.659706115722656,42.827125549316406,43.29658508300781,75.39171600341797,55.778907775878906,1.8863239288330078,61.1553840637207,60.331993103027344,40.460506439208984,37.616363525390625,30.908903121948242,32.192745208740234,67.38948059082031,47.15079116821289,0.001
1.919609785079956,66.16519165039062,56.82966995239258,45.21719741821289,46.2714958190918,39.08424758911133,39.173805236816406,75.28059387207031,52.57454299926758,1.6309252977371216,64.12614440917969,53.550804138183594,39.397186279296875,33.7651252746582,30.850202560424805,30.345521926879883,70.32872772216797,46.05193328857422,0.001
1.8082207441329956,66.5842056274414,54.45917892456055,43.827232360839844,44.488037109375,37.00896453857422,38.155494689941406,76.56629943847656,51.584190368652344,1.5821748971939087,63.76194381713867,50.653568267822266,39.28059005737305,38.613948822021484,29.096435546875,31.857419967651367,71.97571563720703,46.46281814575195,0.001
1.7352458238601685,65.80579376220703,52.16737747192383,43.335628509521484,43.57868194580078,36.27042770385742,36.98337173461914,76.53404235839844,50.66789245605469,1.5898512601852417,63.653587341308594,53.78596115112305,38.129798889160156,44.15726089477539,26.896303176879883,29.616334915161133,70.7298812866211,46.70988845825195,0.001
1.6848491430282593,65.61788940429688,51.215797424316406,42.518402099609375,44.019752502441406,35.265899658203125,36.20850372314453,76.19511413574219,50.148765563964844,1.5691735744476318,63.46144104003906,49.794193267822266,37.14060592651367,39.430397033691406,31.1291446685791,36.368167877197266,70.58759307861328,46.84450149536133,0.001
1.6395379304885864,65.57418823242188,50.71149444580078,42.555198669433594,42.59416961669922,34.18107986450195,36.01911544799805,76.35895538330078,49.71344757080078,1.425938367843628,63.530818939208984,49.99753952026367,35.73579406738281,35.924400329589844,25.46944808959961,28.314348220825195,73.07278442382812,44.5778923034668,0.001
1.6311417818069458,65.38465118408203,50.33735656738281,43.0149040222168,42.51030349731445,34.78310775756836,35.42786407470703,76.35307312011719,49.68731689453125,1.4064888954162598,63.15007400512695,47.102699279785156,39.846614837646484,32.311927795410156,25.332275390625,29.555822372436523,70.68653869628906,43.99799346923828,0.001
1.5808751583099365,62.035160064697266,49.72211456298828,42.66641616821289,42.75839614868164,34.42131805419922,35.08510208129883,74.89128112792969,48.7971076965332,1.4225300550460815,54.496124267578125,45.79999923706055,37.79362487792969,37.89392852783203,32.925350189208984,32.446441650390625,68.09679412841797,44.207454681396484,0.001
1.5005749464035034,53.06398010253906,48.93388366699219,43.559322357177734,44.15610122680664,35.54225540161133,36.15242004394531,75.01968383789062,48.061092376708984,1.3687264919281006,47.361331939697266,49.88447570800781,35.631465911865234,50.3295783996582,29.59613800048828,29.6462345123291,69.68768310546875,44.59099578857422,0.001
