loss,mae,val_loss,val_mae,lr
28.41379737854004,4.521888732910156,23.87383270263672,4.070603370666504,0.001
21.62238883972168,3.8911383152008057,13.296252250671387,2.966205596923828,0.001
12.570137023925781,2.8497672080993652,9.777920722961426,2.516676425933838,0.001
7.733626365661621,2.2455894947052,6.840584754943848,2.131917715072632,0.001
6.957185745239258,2.1386797428131104,6.522055625915527,2.0862958431243896,0.001
6.812424659729004,2.118032693862915,6.564927101135254,2.0747170448303223,0.001
6.658747673034668,2.0900440216064453,6.138009548187256,2.0182552337646484,0.001
6.582836627960205,2.078033208847046,6.257608890533447,2.0423412322998047,0.001
6.4887237548828125,2.0593690872192383,6.044657230377197,1.9818874597549438,0.001
6.4641289710998535,2.0563406944274902,6.1063079833984375,1.988133430480957,0.001
6.4224114418029785,2.0492539405822754,6.030125141143799,1.9897723197937012,0.001
6.335803508758545,2.034578323364258,5.930598735809326,1.9651449918746948,0.001
6.286143779754639,2.0271241664886475,5.916066646575928,1.965267539024353,0.001
6.211169242858887,2.013641834259033,5.843109607696533,1.9509042501449585,0.001
6.272444725036621,2.024807929992676,6.204516887664795,2.0235111713409424,0.001
6.258452892303467,2.0227153301239014,6.055647850036621,1.9592078924179077,0.001
6.258699893951416,2.0243194103240967,5.962098121643066,1.9659448862075806,0.001
6.1974687576293945,2.0129857063293457,5.960843086242676,1.9763765335083008,0.001
6.148591995239258,2.0039868354797363,5.991353988647461,1.9898184537887573,0.001
6.138218879699707,2.002023220062256,5.8279314041137695,1.937917709350586,0.001
6.163270950317383,2.006826400756836,5.780198097229004,1.9372076988220215,0.001
6.1046247482299805,1.996003270149231,6.0094380378723145,1.990312099456787,0.001
6.093206405639648,1.9936161041259766,5.817916393280029,1.9478869438171387,0.001
6.089777946472168,1.9908721446990967,5.845441818237305,1.9508769512176514,0.001
6.03134298324585,1.9812018871307373,6.588425159454346,2.0704309940338135,0.001
6.0320563316345215,1.9794318675994873,5.895788192749023,1.9648609161376953,0.001
6.032043933868408,1.9828013181686401,5.819250106811523,1.9567344188690186,0.001
5.981700897216797,1.9735426902770996,5.822028636932373,1.9498120546340942,0.001
6.005805015563965,1.977299690246582,5.672280311584473,1.9077752828598022,0.001
6.035480499267578,1.9830079078674316,7.041125297546387,2.0529158115386963,0.001
6.110624313354492,2.0003950595855713,6.046955585479736,1.971643328666687,0.001
6.007160186767578,1.9797711372375488,5.880565643310547,1.9474759101867676,0.001
5.987419128417969,1.9746657609939575,5.74578857421875,1.9207333326339722,0.001
5.892658233642578,1.954803466796875,5.680607318878174,1.9236961603164673,0.001
5.987790584564209,1.9737807512283325,5.766165256500244,1.935341238975525,0.001
