loss,accuracy,val_loss,val_accuracy,lr
5.7774658203125,0.3821428716182709,4.72035026550293,0.43799999356269836,0.001
5.092351913452148,0.4269999861717224,3.633821964263916,0.5149999856948853,0.001
4.3991379737854,0.4875714182853699,3.0195653438568115,0.593999981880188,0.001
3.9066989421844482,0.5135714411735535,2.872208595275879,0.6069999933242798,0.001
3.8129138946533203,0.526285707950592,2.6509969234466553,0.6460000276565552,0.001
3.7545957565307617,0.5378571152687073,2.6830105781555176,0.6480000019073486,0.001
3.7492451667785645,0.5329999923706055,2.5837490558624268,0.6570000052452087,0.001
3.693589925765991,0.5438571572303772,2.6061038970947266,0.6620000004768372,0.001
3.7411258220672607,0.5331428647041321,2.690016746520996,0.6209999918937683,0.001
3.7959442138671875,0.5291428565979004,2.5606741905212402,0.6729999780654907,0.001
