loss,mae,val_loss,val_mae,lr
10.0751314163208,2.362955093383789,8.070550918579102,2.1100049018859863,0.001
8.292491912841797,2.1806178092956543,7.243465423583984,2.0376787185668945,0.001
7.6704301834106445,2.128431797027588,6.852471351623535,1.9867472648620605,0.001
7.330041408538818,2.0786163806915283,6.637063503265381,1.9543116092681885,0.001
6.962228298187256,2.002819776535034,6.261605739593506,1.8792078495025635,0.001
6.577648639678955,1.9207127094268799,5.694934844970703,1.7238579988479614,0.001
6.257314205169678,1.8576784133911133,5.5288238525390625,1.69782292842865,0.001
6.102415561676025,1.8283910751342773,5.376853942871094,1.657401204109192,0.001
5.951258182525635,1.8017081022262573,5.292821884155273,1.6363939046859741,0.001
5.869842529296875,1.7818478345870972,5.2633376121521,1.6412421464920044,0.001
5.746510982513428,1.7595188617706299,5.094902515411377,1.587158203125,0.001
5.6551713943481445,1.7420251369476318,4.900143623352051,1.549716830253601,0.001
5.583702564239502,1.7275855541229248,4.884134292602539,1.5570189952850342,0.001
5.515853404998779,1.7156070470809937,4.811142444610596,1.5529361963272095,0.001
5.394465923309326,1.6942883729934692,4.698128700256348,1.5179563760757446,0.001
5.324512481689453,1.6790796518325806,4.729156017303467,1.532507061958313,0.001
5.262953758239746,1.6723108291625977,4.579591274261475,1.4953233003616333,0.001
5.193026065826416,1.6550676822662354,4.548974990844727,1.5023181438446045,0.001
5.158478260040283,1.6492652893066406,4.573629379272461,1.4869472980499268,0.001
5.132968425750732,1.648607611656189,4.480046272277832,1.4729505777359009,0.001
5.09710693359375,1.6428313255310059,4.670154571533203,1.5419870615005493,0.001
5.043145179748535,1.6331887245178223,4.483567714691162,1.48093581199646,0.001
5.025289058685303,1.6271388530731201,4.4853997230529785,1.4814902544021606,0.001
5.043148994445801,1.6338269710540771,4.419439792633057,1.4747648239135742,0.001
4.952375888824463,1.6128246784210205,4.397054672241211,1.467582106590271,0.001
4.964850902557373,1.616546630859375,4.411543846130371,1.4763295650482178,0.001
4.951891899108887,1.6148526668548584,4.269548416137695,1.4372202157974243,0.001
4.9436774253845215,1.6115198135375977,4.307257175445557,1.455060601234436,0.001
4.902827739715576,1.6019190549850464,4.2479753494262695,1.4375362396240234,0.001
4.875241756439209,1.5995653867721558,4.311135768890381,1.4487859010696411,0.001
4.848743438720703,1.5923078060150146,4.283751964569092,1.4547555446624756,0.001
4.879970073699951,1.6004505157470703,4.284351348876953,1.4478517770767212,0.001
4.846932888031006,1.5940216779708862,4.189693927764893,1.428768515586853,0.001
4.810474872589111,1.5879963636398315,4.394412040710449,1.4790194034576416,0.001
4.824155807495117,1.587607979774475,4.24493408203125,1.4451786279678345,0.001
4.778944969177246,1.5739368200302124,4.2200140953063965,1.4271705150604248,0.001
4.797441482543945,1.5805349349975586,4.3079352378845215,1.4588649272918701,0.001
4.760244846343994,1.5748002529144287,4.331624984741211,1.4562205076217651,0.001
4.747551918029785,1.5714843273162842,4.246349334716797,1.4484376907348633,0.001
4.732913970947266,1.5673099756240845,4.201366424560547,1.4316376447677612,0.001
4.7140374183654785,1.5657607316970825,4.1851887702941895,1.435996651649475,0.001
4.748055458068848,1.572818636894226,4.125672817230225,1.4121562242507935,0.001
4.734284400939941,1.5674060583114624,4.1701250076293945,1.4309965372085571,0.001
4.678056240081787,1.5538194179534912,4.073658466339111,1.3959698677062988,0.001
4.689197063446045,1.5592440366744995,4.200186252593994,1.4346815347671509,0.001
4.710306167602539,1.5654233694076538,4.086463451385498,1.410409927368164,0.001
4.671582221984863,1.551568627357483,4.168452739715576,1.4355400800704956,0.001
4.6661882400512695,1.5539737939834595,4.221668243408203,1.4456804990768433,0.001
4.6824727058410645,1.5548675060272217,4.145218372344971,1.418656826019287,0.001
4.634269714355469,1.5465139150619507,4.046597957611084,1.40524423122406,0.001
4.640162944793701,1.5463649034500122,4.084600925445557,1.419677972793579,0.001
4.661343574523926,1.5505666732788086,4.024402618408203,1.3956562280654907,0.001
4.662572383880615,1.5519587993621826,4.061458587646484,1.3992351293563843,0.001
4.632534980773926,1.545414924621582,4.185418605804443,1.4281880855560303,0.001
4.630407810211182,1.5434551239013672,4.109714031219482,1.413097620010376,0.001
4.661367893218994,1.5519052743911743,4.061273097991943,1.4111438989639282,0.001
4.631711006164551,1.5491142272949219,4.220950603485107,1.4463040828704834,0.001
4.615584373474121,1.5423463582992554,4.079995155334473,1.4035884141921997,0.001
4.611163139343262,1.539490818977356,4.055663108825684,1.4049863815307617,0.001
4.618163108825684,1.542507529258728,4.170868396759033,1.429118275642395,0.001
4.622949123382568,1.5429370403289795,4.110520362854004,1.4038658142089844,0.001
4.607278347015381,1.5388455390930176,4.133095741271973,1.419206976890564,0.001
4.582581520080566,1.5346258878707886,4.100159168243408,1.4013358354568481,0.001
4.5832200050354,1.5330259799957275,4.0594377517700195,1.3955562114715576,0.001
4.5753326416015625,1.5323739051818848,4.1037068367004395,1.4040263891220093,0.001
