loss,mae,val_loss,val_mae,lr
2.9053783416748047,2.9053783416748047,1.644031047821045,1.644031047821045,0.001
1.980465292930603,1.980465292930603,1.5852603912353516,1.5852603912353516,0.001
1.886338710784912,1.886338710784912,1.441797137260437,1.441797137260437,0.001
1.8054205179214478,1.8054205179214478,1.3397806882858276,1.3397806882858276,0.001
1.6837031841278076,1.6837031841278076,1.1895616054534912,1.1895616054534912,0.001
1.6386569738388062,1.6386569738388062,1.11007821559906,1.11007821559906,0.001
1.6301491260528564,1.6301491260528564,1.1194713115692139,1.1194713115692139,0.001
1.6118404865264893,1.6118404865264893,1.121825098991394,1.121825098991394,0.001
1.6130062341690063,1.6130062341690063,1.1240447759628296,1.1240448951721191,0.001
1.6109379529953003,1.6109379529953003,1.1244089603424072,1.1244089603424072,0.001
1.6050307750701904,1.6050307750701904,1.0970079898834229,1.0970079898834229,0.001
1.6034362316131592,1.6034362316131592,1.1111185550689697,1.1111185550689697,0.001
1.6068124771118164,1.6068124771118164,1.0991170406341553,1.0991170406341553,0.001
1.595489501953125,1.595489501953125,1.07491135597229,1.07491135597229,0.001
1.597095251083374,1.597095251083374,1.1049286127090454,1.1049286127090454,0.001
1.585216760635376,1.585216760635376,1.0864777565002441,1.0864777565002441,0.001
1.5877922773361206,1.5877922773361206,1.0827867984771729,1.0827867984771729,0.001
1.5841529369354248,1.5841529369354248,1.088857650756836,1.088857650756836,0.001
1.5820460319519043,1.5820460319519043,1.083888292312622,1.083888292312622,0.001
1.5832312107086182,1.5832312107086182,1.058068037033081,1.058068037033081,0.001
1.5869077444076538,1.5869077444076538,1.0712192058563232,1.0712192058563232,0.001
1.57943856716156,1.57943856716156,1.0739325284957886,1.0739325284957886,0.001
1.5805537700653076,1.5805537700653076,1.0456550121307373,1.0456550121307373,0.001
1.5668615102767944,1.5668615102767944,1.0811622142791748,1.0811622142791748,0.001
1.572281837463379,1.572281837463379,1.0485769510269165,1.0485769510269165,0.001
1.560289740562439,1.560289740562439,1.0275970697402954,1.0275970697402954,0.001
